Time (s),Energy (J)
373.6708333333954,0.0008543524624045062
373.6791666666977,0.0008286673771493724
373.6875,0.0008205299633914365
373.6958333333023,0.000790757681485843
373.7041666666046,0.0007509239643894716
373.71249999990687,0.0007450346506061578
373.72083333320916,0.0007681485318542514
373.72916666651145,0.0007776382782438418
373.73749999981374,0.0007827276265857108
373.745833333116,0.0007863600693127637
373.754166666884,0.0007870146251605092
373.76250000018626,0.0007757389069311671
373.77083333348855,0.0007662088343494133
373.77916666679084,0.000753026401490331
373.78750000009313,0.0007573428858336229
373.7958333333954,0.0007714943845869016
373.8041666666977,0.0007633752849898201
373.8125,0.0007589270826144912
373.8208333333023,0.0007663631483652011
373.8291666666046,0.0007784228216465294
373.83749999990687,0.0007800498591095106
373.84583333320916,0.0007785798499497787
373.85416666651145,0.0007900253987713768
373.86249999981374,0.0007998245077374122
373.870833333116,0.0007999261969047211
373.879166666884,0.0008023125959226718
373.88750000018626,0.0008071978991992523
373.89583333348855,0.0008173432532743163
373.90416666679084,0.0008275109719591001
373.91250000009313,0.000831622760188111
373.9208333333954,0.0008362509809032304
373.9291666666977,0.0008438161952923906
373.9375,0.0008458331248135664
373.9458333328366,0.0008565671265259311
373.9541666666046,0.0008651066116556194
373.96250000037253,0.0008628669196184546
373.97083333320916,0.0008696469762199399
373.9791666660458,0.0008759547422911851
373.98749999981374,0.0008861971316775907
373.9958333335817,0.0008977336004605263
374.0041666664183,0.0008931284080020419
374.01250000018626,0.0008908823129019083
374.0208333339542,0.0009159446201394417
374.02916666679084,0.0009150409836991003
374.03749999962747,0.000917253271254026
374.0458333333954,0.0009567124274383332
374.0541666671634,0.0009660421479651404
374.0625,0.0009419984481411348
374.0708333328366,0.0009546037430325782
374.0791666666046,0.0009662369738734355
374.08750000037253,0.0009496451446011633
374.09583333320916,0.0009631648459347275
374.1041666660458,0.0009549840164169154
374.11249999981374,0.000942795250431061
374.1208333335817,0.000931277144424314
374.1291666664183,0.0009345880797155814
374.13750000018626,0.0009339192848898392
374.1458333339542,0.0009322097521788919
374.15416666679084,0.000953229612917994
374.16249999962747,0.000951193190495303
374.1708333333954,0.0009290329566411515
374.1791666671634,0.0009367708422729493
374.1875,0.0009420955831913602
374.1958333328366,0.0009134118890941068
374.2041666666046,0.0009209241418588476
374.21250000037253,0.000910744236158223
374.22083333320916,0.0009054065433460323
374.2291666660458,0.0009226475486272534
374.23749999981374,0.0009141266258225755
374.2458333335817,0.0009099910147440937
374.2541666664183,0.0009263756534494405
374.26250000018626,0.0008983922536884847
374.2708333339542,0.0008818962677779041
374.27916666679084,0.0009163030003591643
374.28749999962747,0.0009233736116769364
374.2958333333954,0.0008860622220439041
374.3041666671634,0.0008682032873963408
374.3125,0.0008742826909156065
374.3208333328366,0.0008483649338089094
374.3291666666046,0.0008281706704877934
374.33750000037253,0.0008601276273978442
374.34583333320916,0.000891788701551377
374.3541666660458,0.0008777679271005923
374.36249999981374,0.0008735105145305511
374.3708333335817,0.000882317802364696
374.3791666664183,0.0008878184985050552
374.38750000018626,0.0008837780024251174
374.3958333339542,0.0008760241724203865
374.40416666679084,0.0008777608669063852
374.41249999962747,0.0008821055327956628
374.4208333333954,0.0008723180581640122
374.4291666671634,0.0008696811130803894
374.4375,0.0009014619852578676
374.4458333328366,0.0009145800028917961
374.4541666666046,0.000895226065885879
374.46250000037253,0.0009014428900968596
374.47083333320916,0.0009143858359337287
374.4791666660458,0.0009158020503292619
374.48749999981374,0.0009240063638102924
374.4958333335817,0.000933290453346558
374.5041666664183,0.0009398243011204954
374.51250000018626,0.0009498293713292583
374.5208333339542,0.0009578703393202659
374.52916666679084,0.0009632103447216878
374.53749999962747,0.0009717056747575725
374.5458333333954,0.0009788391925411588
374.5541666671634,0.0009893634798530115
374.5625,0.0009953411478917928
374.5708333328366,0.001001133380540864
374.5791666666046,0.001012398787743507
374.58750000037253,0.0010258551344151101
374.59583333320916,0.0010258990057963047
374.6041666660458,0.0010300232990090308
374.61249999981374,0.0010524447475219745
374.6208333335817,0.0010495992959747014
374.6291666664183,0.001046447070962131
